Department,Image,Title,Type,Date,Collection,Link,License,Link2
About,About.jpg,Elijah Boardman,Painting,1789,Metropolitan Museum of Art,https://metmuseum.org/art/collection/search/6889,OASC,http://www.metmuseum.org/about-the-met/policies-and-documents/image-resources/frequently-asked-questions
About2,About2.jpg,The Long Bill,Painting,1840,Cincinnati Art Museum,http://www.cincinnatiartmuseum.org/art/explore-the-collection?id=11295922,Fair Use,http://www.cincinnatiartmuseum.org/about/contact-us/policies-licensing/
Accessories,Accessories.jpg,The Rival Milleners,Print,1772,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:47809,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile
Agricultural,Agricultural.jpg,Agriculture,Illustration,1751,Diderot,https://artflsrv03.uchicago.edu/philologic4/encyclopedie1117/navigate/18/8/,Public Domain,https://en.wikipedia.org/wiki/Public_domain
Agricultural,Agricultural2.jpg,Life of George Washington – The Farmer,Print,1853,Library of Congress,https://www.loc.gov/item/96521631/,Public Domain,https://en.wikipedia.org/wiki/Public_domain
Alcohol,Alcohol.jpg,A Midnight Modern Conversation,Print,1732/33,Welcome Collection,https://wellcomecollection.org/works/b6k47mqj,CC BY,https://creativecommons.org/licenses/by/4.0/
Building,Building.jpg,Construction,Illustration,1751,Diderot,https://artflsrv03.uchicago.edu/philologic4/encyclopedie1117/navigate/19/35/,Public Domain,https://en.wikipedia.org/wiki/Public_domain
Clothing,Clothing.jpg,Haute Couture,Illustration,1751,Diderot,http://planches.eu/planche.php?nom=MARCHANDE&nr=1,Public Domain,https://en.wikipedia.org/wiki/Public_domain
Craft,Craft.jpg,Washing & Dying wool,Illustration,1751,Diderot,https://artflsrv03.uchicago.edu/philologic4/encyclopedie1117/navigate/20/26/,Public Domain,https://en.wikipedia.org/wiki/Public_domain
Entertainment,Entertainment.jpg,Barroom Dancing,Painting,1820,Library of Congress,http://loc.gov/pictures/resource/cph.3g04548/,Public Domain,https://en.wikipedia.org/wiki/Public_domain
Foodways,Foodways.jpg,"Frontispiece, Henderson’s Housekeepers Instructor",Illustration,1795,"Henderson, “The housekeeper's instructor or, universal family cook.”",https://hdl.handle.net/2027/uc1.31822031021686?urlappend=%3Bseq=6,Public Domain,https://www.hathitrust.org/access_use#pd-google
Footwear,Footwear.jpg,Collection of Shoes ,Photograph,1720-1745,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:12049,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile
Grocery,Grocery.jpg,The Woman Shop Keeper,Painting,Early 19th century,Glasgow Museums,http://collections.glasgowmuseums.com/mwebcgi/mweb?request=record;id=203710;type=101,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
Household,Household.jpg,"Room from the Powel House, Philadelphia",Photograph,1765-66,Metropolitan Museum of Art,https://metmuseum.org/art/collection/search/6889,OASC,http://www.metmuseum.org/about-the-met/policies-and-documents/image-resources/frequently-asked-questions
Hunting,Hunting.jpg,The Deer Hunt,Painting,1750,Metropolitan Museum of Art,https://metmuseum.org/art/collection/search/12878,OASC,http://www.metmuseum.org/about-the-met/policies-and-documents/image-resources/frequently-asked-questions
Literacy,Literacy.jpg,Portrait of Sam Johnson (“Blinking Sam”),Painting,1775,The Huntington Library,http://emuseum.huntington.org/objects/48194/portrait-of-samuel-johnson-blinking-sam,Fair Use,http://www.huntington.org/WebAssets/Templates/content.aspx?id=16723
Misc,Misc.jpg,The Long Bill,Painting,1840,Cincinnati Art Museum,http://www.cincinnatiartmuseum.org/art/explore-the-collection?id=11295922,Fair Use,http://www.cincinnatiartmuseum.org/about/contact-us/policies-licensing/
Personal,Personal.jpg,Characters who frequented Button's Coffee house,Drawing,1715-1735,British Museum,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=753016&partId=1,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/
Saddlary,Saddlary.jpg,Saddlary,Illustration,1751,Diderot,https://artflsrv03.uchicago.edu/philologic4/encyclopedie1117/navigate/19/18/,Public Domain,https://en.wikipedia.org/wiki/Public_domain
Sewing,Sewing.jpg,Embroidery,Illustration,1751,Diderot,https://artflsrv03.uchicago.edu/philologic4/encyclopedie1117/navigate/19/23/2/?byte=425435,Public Domain,https://en.wikipedia.org/wiki/Public_domain
Textile,Textile.jpg,"Harding, Howell & Co Premises",Print,1809,Ineuw via Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:ARA_1809_V01_D234_Harding,_Howell_%26_Co_premises.jpg",Public Domain,https://en.wikipedia.org/wiki/Public_domain
Tool,Tool.jpg,The Toolmaker,Illustration,1751,Diderot,http://planches.eu/planche.php?nom=TAILLANDERIE,Public Domain,https://en.wikipedia.org/wiki/Public_domain
