self,title,artifact,image,thumbnail,materials,dimensions,date,origin,distance,collection,link,license,link2,ledger,department,customer,page,origin2,production1,production2,materials2,description,author,book,publisher,author2,book2,publisher2,unit,pounds,pounds2,dollars,analytics,Thumb1,Thumb2,Thumb3,Thumb4,Thumb5,Thumb6,Thumb7,New Description,Notes,Notes2
Buckles3,Knee Buckles,Knee Buckles,BreechesBuckle.jpg,BreechesBuckleThumbnail.jpg,Metal,1 x 1 1/2 in,Mid 18thCentury,United States,,LACMA,http://collections.lacma.org/node/176035,Public Domain,http://www.lacma.org/about/contact-us/terms-use,BreecheBuckleLedger.jpg,Accessories,Elias Cockerill,203,Buckles were frequently imported from Sheffield or Birmingham,England,Sheffield,,"Breeches were an article of men's clothing covering the body from the waist down. The breeches could be closed and fastened by either buttons or by a draw-string, but in the eighteenth century, decorated buckles were often used both the fasten the breeches and as fashion accessories. Breeches buckles were similar in form to shoe buckles, but tended to be smaller and often less elaborate. Unlike shoe buckles, where the pivot spanned the width of the rectangle, breeches buckles frequently spanned the length.",Ivor Noël Hume.,A Guide to Artifacts of Colonial America.,"(Philadelphia: University of Pennsylvania Press, 2001), 84-86.","James M. Gaynor and Nancy L. Hagedorn,",Tools: Working Wood in Eighteenth-Century America,"(Williamsburg, VA: The Colonial Williamsburg Foundation, 1993).",1 pr.,5 pence,2.83,4.67,"The databases record five purchases of knee buckles. Their prices range from four pence to one shilling ten pence. The databases record a total of thirteen buckles, six of these do not specify whether they are shoe or knee buckles. The only material noted in the ledger for buckles is steel, but most of them do not list material.",Fan,Handkerchief,ShoeBuckle,ShoeBuckle2,Shoes,Boots,,,,
Comb,Ivory Comb,Hair Comb,Comb.jpg,CombThumbnail.jpg,Tortoise,"OL: 5 1/2"" OW: 7""",1835,England or America,,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:7214,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,CombLedger.jpg,Accessories,Captain Lewis Ellzey,30,,,,,"Eighteenth-century combs might be ornately carved of wood, ivory, or even tortoise shells. The discovery of new animals and plants in the New World quickly led to new exotic materials as commodities. For example, artists imported tortoise shells to Jamaica, where they steamed the material into a flat surface for cutting and sculpting.",,,,,,,1,"1 shilling, 4 pence",9.07,15,"The databases record twelve purchases of combs. Of these, nine are ivory and three are horn. Their prices range from three pence for a horn comb to one shilling four pence for an ivory comb.",Lawn,Cambric,Ribbon,Handkerchief,Thread,Fan,Gloves,,,
Fan,Ivory Fan,Folding fan,Fan.jpg,FanThumbnail.jpg,"Ivory sticks, mother-of-pearl button",Length of guard: 11 1/2 in.; Spread: 21 in.,1760,England,"3,607 mi.",LACMA,http://collections.lacma.org/node/249816,Public Domain,http://www.lacma.org/about/contact-us/terms-use,FanLedger2.jpg,Accessories,Captain Lewis Ellzey,30,,,,,"Originally an East Asian invention, the folding fan was an important accessory for both upper and middle classes. While quite handy for cooling off in a heated ballroom, fans could also be printed with riddles, maps, dance steps – the ideal conversation piece. Finished fans could have European or Asian designs, or be made up of only carved sticks. Making a fan could also be a global effort. Fan sticks of ivory were often imported from China to Europe, where master craftsmen decorated them. Variety in material and design gave Early Americans a lot of choice.",Linda Baumgarten.,What Clothes Reveal: The Language of Clothing in Colonial and Federal America,"(New Haven: Colonial Williamsburg Foundation in association with Yale University Press, 2002), 45.",,,,1,"3 shillings, 10 pence",26.1,43,The databases record five fans ranging from six pence for an unspecified fan to four shillings six pence for an ivory form fan.,Handkerchief,Cambric,Lawn,Ribbon,Thread,Hose,Silk,,,
MourningRing,Mourning Ring,Mourning Ring,MourningRing.jpg,MourningRingThumbnail.jpg,"Gold, black enamel",Diam: 13/16  inch,1752,America or England,,Image Courtesy of The Colonial Williamsburg Foundation,http://emuseum.history.org/view/objects/asitem/items$0040:4211,All rights reserved,http://www.history.org/foundation/terms_faqs.cfm?showSite=mobile,MourningRingLedger.jpg,Accessories,William Ramsay,186,,,,,"Mourning Rings were outward expressions of grief that could continue to be worn even after the mourning period elapsed. The iconography of mourning rings was similar to other funerary iconography of the time and could include skulls and crossbones, willow or cypress trees, and gravestones. As most jewelry, they were also outward signs of wealth, made of gold or silver and could be adorned with enamel, metalwork, jewels, pendents, and even locks of hair from the deceased. Mourning rings could either be custom made by a jeweler or commercial products that were ready-made and available from merchants such as Ramsay. They were often engraved with the name, date of death, and age of the deceased.","Holm, Christiane. “Sentimental Cuts: Eighteenth-Century Mourning Jewelry with Hair.”",Eighteenth-Century Studies,"38:1 (Fall, 2004): 139-143.",,,,2,21 shillings,142,234,"The databases record only four rings total. Two heart mourning rings purchased by William Ramsay for twenty one shillings each, one cross-set ring purchased by Captain Daniel McCarty for one pound one shilling, and a garnet ring used by Captain Daniel McCarty as payment for thirteen pounds eight shillings.",Rum,Button,Hose,Shoes,Stays,Hat,Broadcloth,*,,
Razor,Handkerchief,Figured India Muslin Kerchief,Handkerchief.jpg,HandkerchiefThumbnail.jpg,Cotton,35 ½ x 34 ¾ in; 90.17 x 88.265 cm,1775,India,"13,015 km",Smithsonian,http://collections.si.edu/search/direct/L3NlYXJjaC9yZXN1bHRzLmh0bT9xPXJlY29yZF9JRDpubWFoXzM3MTY4NQ==,Fair Use,http://www.si.edu/Termsofuse,HandkerchiefLedger.jpg,Accessories,John Gist,35,"Handkerchiefs were frequently imported to the colonies from India, England, France, and Scotland. There were three handkerchiefs in the Ramsay databases identified as Sastracundy, identifying the particular region of their manufacture in India.",India,Sastracundy,,"Handkerchiefs are square pieces of fabric, typically cotton, linen, or silk. They were used by both men and women for a variety of uses. Functionally they were used to sop up tears or sweat and to blow ones nose. As accessories they were also used for display, either worn around the shoulders or neck, or brandished, dropped, or exchanged as part of flirting and courtship rituals. Their ornamentation could be printed, embroidered, or trimmed with lace.",Raymond B. Clark Jr. “Historical Handkerchiefs”,New York History,36:2 (1955): 189-196.,Linda Baumgarten.,Eighteenth-Century Clothing at Williamsburg.,"(Williamsburg, Va: Colonial Williamsburg Foundation, 1986), 42, 71.",1,12pence,6.8,11.2,"The databases record fifty-three handkerchiefs in an assortment of materials including cotton, linen, silk and lawn. Vorlinda Wade purchased a pair of handkerchiefs identified as India handkerchiefs. The prices range from nine shillings for a cotton romall handkerchief, to four shillings for a fine lawn handkerchief.",Sugar,Lock,Rum,Button,Paper,Cotton,Nail,,,
Hoe,Hoe,Hoe,Hoe.jpg,HoeThumbnail.jpg,Illustration,,1851,France,,Encyclopédie de Diderot,https://artflsrv03.uchicago.edu/philologic4/encyclopedie1117/navigate/18/27/,Public Domain,https://en.wikipedia.org/wiki/Public_domain,HoeLedger.jpg,Agricultural,Jemima Minor,279,,,,,,,,,,,,,2 shillings,13.6,22.4,"The databases record 11 purchases of hoes. They were purchased in quantities from one to eight. Five of these are identified as narrow, four as broad. Jemima Minor, William Richards, and Vorlinda Wade each respectively purchased broad and narrow hoes within the same transaction. The prices for broad an narrow hoes was consistently two shillings for a narrow hoe and two shillings six pence for a broad hoe, with one exception of a purchase of eight broad hoes for two shillings two pence each.",Trace,Linen,Sugar,Check,Stays,Osnaburg,Lawn,*,,
Saltpetre,Saltpetre,Saltpetre,Saltpetre.jpg,SaltpetreThumbnail.jpg,Saltpetre,,,,,Flixtey via Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Salt_Peter.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,SaltpetreLedger.jpg,Agricultural,Henry Rozer,249,"Saltpetre could be made locally, as evidenced by an instructive article from the Virginia Gazette, on the process of making saltpetre.",AmericanColonies,Virginia,AmericanColonies,"Saltpetre, or nitre was a mineral substance used primarily in the manufacture of gunpowder and explosives or as a fertilizer.",“Method of Making Saltpetre”,The British Magazine,4 (1763): 464.,,,,2lbs,"1 shilling, 8 pence per lb.",11.3,18.6,The databases record only three purchases of saltpetre. Their prices range from one shilling eight pence to two shillings.,Shoes,Cards,Scythe,Lead,Molasses,Thread,Nail,,,
Scythe,Scythe,Scythe,Scythe.jpg,ScytheThumbnail.jpg,Illustration,,1851,France,,Encyclopédie de Diderot,https://artflsrv03.uchicago.edu/philologic4/encyclopedie1117/navigate/18/27/,Public Domain,https://en.wikipedia.org/wiki/Public_domain,ScytheLedger.jpg,Agricultural,John Cussine,95,"Scythes were imported from the production centers of Belbroughton in the district of Worcestershire, England and Norton in the county of County Durham, England.",England,Belbroughton,,A scythe is an agricultural tool consisting of a curved steel blade on a long handle. They are used to reap grains and mow grass. The long handle with the blade at the bottom made the process of reaping grain more efficient because the user was not required to stoop in the manner necessary to use a sickle.,"Olmstead, Alan L. and Rhode Paul W. “Agricultural Technology” in","The Oxford Encyclopedia of the History of American Science, Medicine, and Technology.","Oxford University Press, 2014.",“Scythes” in,"The Oxford Companion to Family and Local History,","edited by Hey, David. : Oxford University Press, 2008.",,4 shillings,27.2,44.8,"The databases record fifteen scythes, three of which are sold with scythe stones for sharpening. Their prices range from four to five shillings each.",Sugar,Rum,Cotton,Hat,Shoes,Bible,Button,,,
Sifter,Sifter,Hair and Wicker Sifters,Sifter.jpg,SifterThumbnail.jpg,Illustration,,1851,France,,Encyclopédie de Diderot,https://artflsrv03.uchicago.edu/philologic4/encyclopedie1117/navigate/18/27/,,,,Agricultural,Samuel Moxley,63,,,,,,,,,,,,,10 pence,5.67,9.35,The databases record eight sales of sifters. Five of these are identified as ‘hair’ sifters. Their prices range from eight pence for a hair sifter to one shilling six pence for a hair sifter. ,Check,Lace,Hat,Button,Mohair,Thread,Ribbon,*,,
Trowel,Trowel,Trowel,Trowel.jpg,TrowelThumbnail.jpg,Illustration,,1851,France,,Encyclopédie de Diderot,https://artflsrv03.uchicago.edu/philologic4/encyclopedie1117/navigate/18/27/,Public Domain,https://en.wikipedia.org/wiki/Public_domain,TrowelLedger.jpg,Agricultural,John Gunstone,176,,,,,,,,,,,,,15 pence,8.5,14,The databases only record three purchases of trowels. One is identified as a plaster trowel and one is a bricklayer trowel. Their prices range from fifteen pence for a trowel to one shilling three pence for a bricklayer trowel.,Check,Thread,Handkerchief,Comb,Linen,Salt,Shoes,*,,
